GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ZooGameApp,edu.nwmissouri.zoo05group,UnoGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Bingo,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,GameApp,140,0,21,0,66,0,18,0,2,0
ZooGameApp,edu.nwmissouri.zoo05group,Uno,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Sequence,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,RowingGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Shoebill.Seasons,21,0,0,0,4,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,Floppy,66,33,2,0,14,11,3,6,2,6
ZooGameApp,edu.nwmissouri.zoo05group,SoftBall,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Stag.Months,75,0,0,0,13,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,AbstractGame,43,0,0,0,16,0,6,0,6,0
ZooGameApp,edu.nwmissouri.zoo05group,DogAndBoneGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooCheckFiles,206,0,12,0,55,0,16,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Rowing,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,ScavengerHunt,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Aardvark,75,0,0,0,21,0,7,0,7,0
ZooGameApp,edu.nwmissouri.zoo05group,Stag,45,25,0,0,11,11,2,6,2,6
ZooGameApp,edu.nwmissouri.zoo05group,AnimalGender,0,27,0,0,0,5,0,1,0,1
ZooGameApp,edu.nwmissouri.zoo05group,ScavengerHuntGroup,65,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Badminton,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,StringRay,62,21,2,0,12,9,3,5,2,5
ZooGameApp,edu.nwmissouri.zoo05group,Shoebill,43,21,0,0,10,9,2,5,2,5
ZooGameApp,edu.nwmissouri.zoo05group,BadmintonGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,StringRayGroup,3,56,0,2,1,14,1,3,1,2
ZooGameApp,edu.nwmissouri.zoo05group,ShoebillGroup,3,56,0,2,1,14,1,3,1,2
ZooGameApp,edu.nwmissouri.zoo05group,SoftBallGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Animal,10,12,0,0,4,5,3,1,3,1
ZooGameApp,edu.nwmissouri.zoo05group,SequenceGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Xraytetra.Days,45,0,0,0,8,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,Golf,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Monopoly.Money,15,0,0,0,3,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,FencingGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Rabbit,0,97,0,2,0,28,0,10,0,9
ZooGameApp,edu.nwmissouri.zoo05group,CarromsGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooBuildSwitch,408,0,28,0,92,0,23,0,9,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooWebApp,8,0,0,0,3,0,2,0,2,0
ZooGameApp,edu.nwmissouri.zoo05group,BingoGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,Uno.unocards,27,0,0,0,5,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,Sequence.CoinsColors,21,0,0,0,4,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,StagGroup,3,56,0,2,1,14,1,3,1,2
ZooGameApp,edu.nwmissouri.zoo05group,Rabbit.FoodHabits,0,27,0,0,0,5,0,1,0,1
ZooGameApp,edu.nwmissouri.zoo05group,Floppy.Planet,51,0,0,0,9,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,DogAndBone,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Fencing,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,Monopoly,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooApp,105,0,16,0,46,0,13,0,2,0
ZooGameApp,edu.nwmissouri.zoo05group,Carroms.carromcoins,27,0,0,0,5,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,Carroms,84,0,0,0,30,0,10,0,10,0
ZooGameApp,edu.nwmissouri.zoo05group,MonopolyGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooBuildCodeIssues,179,0,0,0,44,0,19,0,19,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooIndexController,199,0,22,0,95,0,27,0,7,0
ZooGameApp,edu.nwmissouri.zoo05group,FloppyGroup,3,51,0,0,1,15,1,3,1,3
ZooGameApp,edu.nwmissouri.zoo05group,GolfGroup,66,0,0,0,20,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,ZooAuthors,278,0,14,0,68,0,20,0,13,0
ZooGameApp,edu.nwmissouri.zoo05group,XraytetraGroup,3,51,0,0,1,15,1,3,1,3
ZooGameApp,edu.nwmissouri.zoo05group,Badminton.stockes,33,0,0,0,6,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,StringRay.Times,21,0,0,0,4,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,AardvarkGroup,54,0,0,0,16,0,4,0,4,0
ZooGameApp,edu.nwmissouri.zoo05group,DogAndBone.Things,27,0,0,0,5,0,1,0,1,0
ZooGameApp,edu.nwmissouri.zoo05group,RabbitGroup,3,56,0,2,1,14,1,3,1,2
ZooGameApp,edu.nwmissouri.zoo05group,Xraytetra,66,25,2,0,14,11,3,6,2,6
